username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,language
ReddSab,"b'@deirbhilesdaddy @superbowler4 mine was just recorded,  i got the pfizer booster,  nurse said the card was only for the first 2 vaccines.'",no retweet username,[],2021-12-01 08:59:58+00:00,666,1216,en
BobStPier1,b'breaking: document dump on pfizer\xe2\x80\x99s \xe2\x80\x9cfalsified data\xe2\x80\x9d scandal (as originally reported by the british medical journal here https://t.co/xnwlsrtxi1)\n\nhave you ever wondered why this isn\xe2\x80\x99t on your front pages? https://t.co/tjpfb1mdad',MaajidNawaz,[],2021-12-01 08:59:57+00:00,1964,2028,en
SamLowry60,b'some very good preliminary news:\n\n\xe2\x80\x9cpfizer vaccine is just slightly less effective in preventing infection with omicron than with delta \xe2\x80\x93 90% as opposed to 95% \xe2\x80\x93 while it is as effective \xe2\x80\x93 around 93% \xe2\x80\x93 in preventing serious symptoms\xe2\x80\xa6 with a booster. https://t.co/1gpbz2gazp',matthewlesh,[],2021-12-01 08:59:42+00:00,902,1982,en
Key2MiddleEast,"b""the pfizer vaccine is likely to offer strong protection against any severe disease from the new omicron covid variant, according to the head of biontech who urged people not to 'freak out' https://t.co/rgej8kolzf""",SkyNews,[],2021-12-01 08:59:41+00:00,1077,5002,en
kk002188,"b'@fltltanoopverma correct, sa is getting framed. few days earlier sa asked to stop sending vaccines to pfizer and j&amp;j. now the country is getting framed for origins of its new varient.'",no retweet username,[],2021-12-01 08:59:41+00:00,11,113,en
Ananda10149510,b'hong kong\xe2\x80\x99s bottom line on vaccination-caused adolescent myocarditis (with pfizer):\n\nhttps://t.co/vmle98wylc https://t.co/mfm4gcbzsb',Covid19Crusher,[],2021-12-01 08:59:33+00:00,57,129,en
kosuke_tsujino,b'\xe3\x81\x8a\xe3\x81\xa3\n&gt; pfizer vaccine is just slightly less effective in preventing infection with omicron than with delta \xe2\x80\x93 90% as opposed to 95% \xe2\x80\x93 while it is as effective \xe2\x80\x93 around 93% \xe2\x80\x93 in preventing serious symptoms at least for those vaccinated with a booster.\nhttps://t.co/7euw05xtm0',no retweet username,[],2021-12-01 08:59:31+00:00,1355,1242,en
DrTonyLeachon,"b'just in | fda director general eric domingo says sinovac, pfizer, moderna, and astrazeneca covid-19 vaccines have been approved on monday as booster shots for the general population aging 18 and above. @news5ph @onenewsph'",GVGregorio_TV5,[],2021-12-01 08:59:25+00:00,54293,3397,en
setiawansetz,"b""what a mess! came back from a conference in london. with a mask and 3 #pfizer vaccines i managed to get #omicron (case #3 in israel). i guess that's one way to get into @cnn and @guardian. still prefer in-person over the online format\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n@erictopol @hragy #cardiotwitter #covid19 https://t.co/bgmguoai1d""",maor_elad,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01 08:59:22+00:00,122,1040,en
rtenews,"b'the eu rollout of the pfizer/biontech covid-19 vaccine for five- to 11-year-olds will begin on 13 december, a week earlier than previously planned https://t.co/0vomvt9set'",no retweet username,[],2021-12-01 08:59:17+00:00,987780,318,en
