,username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,language,Polarity,Polarity_distribution,len_tweet,word_count_tweet
0,reddsab, mine recorded got pfizer booster nurse said card first vaccines,no retweet username,[],2021-12-01,666,1216,en,0.25,Negative,64,11
1,bobstpier1, breaking document dump pfizer data scandal originally reported british medical journal ever wondered front pages,maajidnawaz,[],2021-12-01,1964,2028,en,0.125,Negative,113,16
2,samlowry60, good preliminary news vaccine slightly less effective preventing infection omicron delta opposed effective around preventing serious symptoms booster,matthewlesh,[],2021-12-01,902,1982,en,0.28,Negative,150,19
3,key2middleeast, pfizer vaccine likely offer strong protection severe disease new omicron covid variant according head biontech urged people freak,skynews,[],2021-12-01,1077,5002,en,0.18989898989898987,Negative,130,19
4,kk002188, correct sa getting framed days earlier sa asked stop sending vaccines pfizer j amp j country getting framed origins new varient,skynews,[],2021-12-01,11,113,en,0.06818181818181818,Negative,128,22
5,ananda10149510, hong kong bottom line vaccination caused adolescent myocarditis pfizer,covid19crusher,[],2021-12-01,57,129,en,0.0,Neutral,71,10
6,kosuke_tsujino, gt pfizer vaccine slightly less effective preventing infection omicron delta opposed effective around preventing serious symptoms least vaccinated booster,covid19crusher,[],2021-12-01,1355,1242,en,0.07999999999999999,Negative,155,20
7,drtonyleachon, fda director general eric domingo says sinovac pfizer moderna astrazeneca covid vaccines approved monday booster shots general population aging,gvgregorio_tv5,[],2021-12-01,54293,3397,en,0.05000000000000002,Negative,144,20
8,setiawansetz, mess came back conference london mask pfizer vaccines managed get omicron case israel guess one way get still prefer person online format cardiotwitter,maor_elad,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,122,1040,en,-0.0875,Positive,152,24
9,rtenews, eu rollout pfizer biontech covid vaccine five year olds begin december week earlier previously planned,maor_elad,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,987780,318,en,-0.08333333333333333,Positive,103,16
10,cooksonwma, done zero research front misleading audience moderna sell products zero products r amp mode mean nothing pfizer loses money without covid one reads publication lazy sell,jordanschachtel,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,1925,5002,en,-0.28750000000000003,Positive,170,27
11,helenco81968926, matter u say wasted billion order vaccines prevent lockdowns cost way higher penny pinching pfizer last year time join hunt porter,jordanschachtel,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,134,343,en,0.016666666666666663,Negative,131,22
12,simonkensington, british society government dictates fifth jab replaced mandatory pfizer intravenous drips protect new omicron covid variant scientists name strain public comply saying law,russellquirk,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,2223,1972,en,0.04545454545454545,Negative,172,24
13,quackijae, im alive survived pfizer,russellquirk,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,866,853,en,0.1,Negative,25,5
14,quequeerr, aunt pfizer vaccines,alexandermaiioy,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,168,427,en,0.0,Neutral,21,4
15,amainsight, omicron covid variant unlikely cause severe illness people received pfizer vaccine biontech chief says via,alexandermaiioy,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,609,1568,en,-0.5,Positive,107,16
16,martinesaunde20, important video dr vernon coleman detailing pfizer report fda feb safety v e even point adverse reaction case deathsso knew carried regardless,theblogmire,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,631,653,en,0.4,Negative,143,23
17,canyons_addict, testing shown mrna boosters offer best immune response either pfizer moderna,theblogmire,"[{'text': 'Pfizer', 'indices': [85, 92]}, {'text': 'Omicron', 'indices': [119, 127]}]",2021-12-01,9,47,en,1.0,Negative,77,12
18,omnes_lucrantur, breaking leaked documents cast fresh doubts integrity data arising pfizer pivotal covid vaccine trial amp suggest problems ventavia ongoing whistle blower brook jackson speaks,maryannedemasi,"[{'text': 'Pfizer', 'indices': [112, 119]}]",2021-12-01,210,38,en,0.4,Negative,176,25
19,lyndsay_hopkins, makes even worse confused though china develop vaccine linked pfizer,maryannedemasi,"[{'text': 'Pfizer', 'indices': [112, 119]}]",2021-12-01,4152,2950,en,-0.4,Positive,69,11
20,smeemartin, get pfizer,queennat_35,"[{'text': 'pfizer', 'indices': [32, 39]}]",2021-12-01,2225,4773,en,0.0,Neutral,11,3
21,bmac76722584, anyone wondering real sept got first shot pfizer weakened immune system nov got viral infection hospitalized myocarditis heart damage rest life doctors e shots,justrobshadows,"[{'text': 'pfizer', 'indices': [32, 39]}]",2021-12-01,37,136,en,0.225,Negative,160,25
22,newnormality20, year old sunshine coast man suffers e heart pain post pfizer vaccine rushed hospital twice told doctors standard line gaslighting doctors outrageously complicit amp culpable denying obvious vaccine injuries,virg21nicholls,"[{'text': 'pfizer', 'indices': [32, 39]}]",2021-12-01,106,315,en,-0.3,Positive,207,30
23,animationposer, going push booster better astrazeneca think nhs tcells win day pfizer democracy fascist state,virg21nicholls,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01,118,465,en,0.65,Negative,94,15
24,jazz_flute_, says worry seems legit,virg21nicholls,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01,19,233,en,0.0,Neutral,23,5
25,annejonesmn, q monoclonal antibodies work omicron probably notq antiviral drugs like merck molnupiravir amp pfizer pa work versus omicron probably yes,celinegounder,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01,4036,5001,en,0.0,Neutral,138,21
26,bugbugbugbug11, pfizer blocked marjorie taylor greene twitter georgia block congress,jdcocchiarella,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01,7,145,en,0.0,Neutral,69,10
27,air2aliah, know vaccines still trial pfizer trial ends jan,jdcocchiarella,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01,3,36,en,0.0,Neutral,48,9
28,realblackirish, year old sydney man suffered brain haemorrhage mins pfizer jab amp longer speak eat breathe tube fed brain shunts amp tracheotomy unrelated vaccine course,virg21nicholls,"[{'text': 'Booster', 'indices': [42, 50]}, {'text': 'AstraZeneca', 'indices': [64, 76]}, {'text': 'NHS', 'indices': [93, 97]}, {'text': 'TCELLS', 'indices': [98, 105]}]",2021-12-01,5644,987,en,0.1,Negative,155,25
29,catd87222956, response yesterday puke journalist died whangarei fb group many believe misinformation really scares lot people northland going get sick pfizervaccine covidiot nz tinfoilhats,virg21nicholls,"[{'text': 'covid19', 'indices': [65, 73]}, {'text': 'Whangarei', 'indices': [81, 91]}, {'text': 'FB', 'indices': [92, 95]}]",2021-12-01,4,52,en,-0.004761904761904782,Positive,175,24
30,eategrity_sonia, historically whistleblowers abused power loves dark brookjackson fired day e problems pfizervaccine trial pfizerleaks,virg21nicholls,"[{'text': 'BrookJackson', 'indices': [70, 83]}]",2021-12-01,3471,4766,en,-0.075,Positive,118,15
31,notleanna_, finally got dose vaccine pfizervaccine,virg21nicholls,"[{'text': 'Pfizervaccine', 'indices': [37, 51]}]",2021-12-01,265,473,en,0.0,Neutral,39,6
32,freethinker_tx, must watch supporting data found mrna v ax bioweapon e kids included pfizervaccine ages test removed testing population crimesagainsthumanity,freethinker_tx,"[{'text': 'BioWeapon', 'indices': [112, 122]}]",2021-12-01,542,832,en,0.25,Negative,142,20
33,freethinker_tx, must watch supporting data found mrna v ax bioweapon e kids included pfizervaccine ages test removed testing population crimesagainsthumanity,freethinker_tx,"[{'text': 'BioWeapon', 'indices': [92, 102]}]",2021-12-01,542,832,en,0.25,Negative,142,20
34,cuerdocarl, dose done pfizervaccine,freethinker_tx,"[{'text': 'Pfizervaccine', 'indices': [16, 30]}]",2021-12-01,17,39,en,0.0,Neutral,24,4
35,annejuan_87, amp hahahah pfizervaccine,freethinker_tx,"[{'text': 'Pfizervaccine', 'indices': [27, 41]}]",2021-12-01,78,206,en,0.0,Neutral,26,4
36,forglobalgoals, covidvariant omicronvariant biontech boss says freak omicron pfizervaccine likely protect severe disease variant pakustv nyc globalhealth variantofconcern ugursahin globalgoals,saada186,"[{'text': 'covidvariant', 'indices': [14, 27]}, {'text': 'OmicronVariant', 'indices': [30, 45]}, {'text': 'BioNTech', 'indices': [48, 57]}, {'text': 'Omicron', 'indices': [92, 100]}, {'text': 'Pfizervaccine', 'indices': [104, 118]}]",2021-12-01,4940,3,en,0.0,Neutral,177,20
37,saada186, covidvariant omicronvariant biontech boss says freak omicron pfizervaccine likely protect severe disease variant pakustv nyc globalhealth variantofconcern ugursahin globalgoals,saada186,"[{'text': 'covidvariant', 'indices': [0, 13]}, {'text': 'OmicronVariant', 'indices': [16, 31]}, {'text': 'BioNTech', 'indices': [34, 43]}, {'text': 'Omicron', 'indices': [78, 86]}, {'text': 'Pfizervaccine', 'indices': [90, 104]}]",2021-12-01,697,2381,en,0.0,Neutral,177,20
38,thehoff305, general fyi doc pfizervaccine fails risk benefit analysis children,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-12-01,713,3010,en,-0.22499999999999998,Positive,67,10
39,celimarrivera, years leading edge biopharmaceuticals come join team lookout future scientists doctors data analysts amp program managers ready make difference pfizerproud pfecolleague,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-12-01,18,94,en,0.1,Negative,169,22
40,celimarrivera, years leading edge biopharmaceuticals come join team lookout future scientists doctors data analysts amp program managers ready make difference pfizerproud pfecolleague,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-12-01,18,94,en,0.1,Negative,169,22
41,mollymaka, boy got second shot today took like champ two weeks till considered fully vaccinated scheduled booster friday someone needle phobic e doingourpart theboytm pfizervaccine,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-12-01,856,712,en,0.0,Neutral,170,25
42,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
43,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
44,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
45,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
46,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
47,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
48,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
49,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
50,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
51,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,saada186,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
52,tcbfhq, year old wynn part today received covid vaccination part saskhealthauthority pfizervaccine getvaccinated,cherishfrancis,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,4441,4435,en,0.1,Negative,105,13
53,shmonyvet, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,34,157,en,0.0,Neutral,178,27
54,68john, years leading edge biopharmaceuticals come join team lookout future scientists doctors data analysts amp program managers ready make difference pfizerproud pfecolleague,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,5,70,en,0.1,Negative,169,22
55,annleelyn1, nhlbi year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,184,28
56,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
57,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
58,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
59,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
60,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
61,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
62,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
63,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
64,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
65,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
66,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
67,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
68,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
69,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
70,annleelyn1, year old girl died month receiving second pfizervaccine majda el azrak got second shot august suffered severe headache ne day hospitalized august slipped coma died investigation,annleelyn1,"[{'text': 'Pfizervaccine', 'indices': [29, 43]}]",2021-11-30,500,4091,en,0.0,Neutral,178,27
71,dellyranksindia, covid biontech ceo says current vaccine likely protect omicron biontech biontechvaccine omicron omicronvariant pfizervaccine ugursahin,annleelyn1,"[{'text': 'bioNtech', 'indices': [75, 84]}, {'text': 'BioNTechvaccine', 'indices': [85, 101]}, {'text': 'Omicron', 'indices': [102, 110]}]",2021-11-30,10,0,en,0.0,Neutral,135,16
72,cherishfrancis, year old wynn part today received covid vaccination part saskhealthauthority pfizervaccine getvaccinated,annleelyn1,"[{'text': 'bioNtech', 'indices': [75, 84]}, {'text': 'BioNTechvaccine', 'indices': [85, 101]}, {'text': 'Omicron', 'indices': [102, 110]}]",2021-11-30,27,84,en,0.1,Negative,105,13
73,principalnick43, attention farrock community vaccinations today ages pfizer vaccine pfizervaccine vaccination farrockaway,annleelyn1,"[{'text': 'FarRock', 'indices': [10, 18]}, {'text': 'Pfizer', 'indices': [79, 86]}, {'text': 'Vaccine', 'indices': [87, 95]}, {'text': 'PfizerVaccine', 'indices': [96, 110]}]",2021-11-30,803,1263,en,0.0,Neutral,105,12
